,ANO,COD_MUN,HOMICIDIOS,NOM_MUN,POPULACAO,TAXA_HOMICIDIO
1,2010,250040,7,Alagoa Nova,19681.0,35.57
2,2010,250050,1,Alagoinha,13576.0,7.37
3,2010,250053,1,Alcantil,5239.0,19.09
4,2010,250057,1,Algodão de Jandaíra,2366.0,42.27
5,2010,250060,8,Alhandra,18007.0,44.43
6,2010,250070,1,São João do Rio do Peixe,18201.0,5.49
7,2010,250073,1,Amparo,2088.0,47.89
8,2010,250080,1,Araçagi,17224.0,5.81
9,2010,250090,3,Arara,12653.0,23.71
10,2010,250100,1,Araruna,18879.0,5.3
11,2010,250110,4,Areia,23829.0,16.79
12,2010,250115,1,Areia de Baraúnas,1927.0,51.89
13,2010,250130,3,Aroeiras,19082.0,15.72
14,2010,250140,1,Baía da Traição,8012.0,12.48
15,2010,250150,6,Bananeiras,21851.0,27.46
16,2010,250157,3,Barra de Santana,8206.0,36.56
17,2010,250160,4,Barra de Santa Rosa,14157.0,28.25
18,2010,250180,56,Bayeux,99716.0,56.16
19,2010,250240,1,Bonito de Santa Fé,10804.0,9.26
20,2010,250250,8,Boqueirão,16888.0,47.37
21,2010,250280,6,Brejo do Cruz,13123.0,45.72
22,2010,250290,5,Brejo dos Santos,6198.0,80.67
23,2010,250300,9,Caaporã,20362.0,44.2
24,2010,250320,54,Cabedelo,57944.0,93.19
25,2010,250330,1,Cachoeira dos Índios,9546.0,10.48
26,2010,250350,1,Cacimba de Dentro,16748.0,5.97
27,2010,250355,1,Cacimbas,6814.0,14.68
28,2010,250370,6,Cajazeiras,58446.0,10.27
29,2010,250400,215,Campina Grande,385213.0,55.81
30,2010,250403,1,Capim,5601.0,17.85
31,2010,250415,1,Casserengue,7058.0,14.17
32,2010,250430,5,Catolé do Rocha,28759.0,17.39
33,2010,250440,2,Conceição,18363.0,10.89
34,2010,250460,12,Conde,21400.0,56.07
35,2010,250470,2,Congo,4687.0,42.67
36,2010,250480,1,Coremas,15149.0,6.6
37,2010,250500,1,Cubati,6866.0,14.56
38,2010,250510,1,Cuité,19978.0,5.01
39,2010,250520,1,Cuitegi,6889.0,14.52
40,2010,250530,4,Curral Velho,2505.0,159.68
41,2010,250540,1,Desterro,7991.0,12.51
42,2010,250570,1,Dona Inês,10517.0,9.51
43,2010,250600,4,Esperança,31095.0,12.86
44,2010,250610,1,Fagundes,11405.0,8.77
45,2010,250625,2,Gado Bravo,8376.0,23.88
46,2010,250630,14,Guarabira,55326.0,25.3
47,2010,250640,1,Gurinhém,13872.0,7.21
48,2010,250660,4,Ibiara,6031.0,66.32
49,2010,250680,2,Ingá,18180.0,11.0
50,2010,250690,4,Itabaiana,24481.0,16.34
51,2010,250700,3,Itaporanga,23192.0,12.94
52,2010,250710,3,Itapororoca,16997.0,17.65
53,2010,250720,1,Itatuba,10201.0,9.8
54,2010,250730,1,Jacaraú,13942.0,7.17
55,2010,250740,2,Jericó,7538.0,26.53
56,2010,250750,556,João Pessoa,723515.0,76.85
57,2010,250770,2,Juazeirinho,16776.0,11.92
58,2010,250780,1,Junco do Seridó,6643.0,15.05
59,2010,250820,1,Lagoa de Dentro,7370.0,13.57
60,2010,250830,6,Lagoa Seca,25900.0,23.17
61,2010,250850,1,Livramento,7164.0,13.96
62,2010,250860,7,Lucena,11730.0,59.68
63,2010,250890,10,Mamanguape,42303.0,23.64
64,2010,250900,2,Manaíra,10759.0,18.59
65,2010,250910,5,Mari,21176.0,23.61
66,2010,250920,1,Massaranduba,12902.0,7.75
